0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333496,-0.727539,0.63916,0.3125,-1.9375,1.8125,65,70,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337402,-0.729492,0.643066,-0.6875,0.125,3.875,65,70,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337891,-0.727539,0.637695,0.125,2.0,8.125,65,71,25
3.0,-7.0,-8.0,-4.0,0.0,16.0,-12.0,-2.0,0.336426,-0.753906,0.63623,7.0,5.4375,11.375,65,71,25
-19.0,-9.0,-3.0,-19.0,-13.0,0.0,-2.0,-6.0,0.313477,-0.718262,0.710938,12.5625,-4.3125,5.1875,65,72,25
-9.0,-3.0,-3.0,-3.0,-7.0,-1.0,0.0,9.0,0.30127,-0.648926,0.69873,9.0625,-17.4375,8.25,66,71,25
-21.0,-2.0,7.0,11.0,21.0,17.0,1.0,9.0,0.333984,-0.740234,0.630371,-2.3125,-61.125,27.5,65,70,28
-34.0,-19.0,-10.0,-27.0,-19.0,5.0,13.0,-18.0,0.384766,-0.723633,0.597168,10.0625,-60.0625,40.0625,64,69,30
-7.0,-1.0,7.0,-6.0,4.0,4.0,-5.0,-3.0,0.378906,-0.778809,0.558105,-4.375,-50.875,41.125,64,69,32
0.0,-2.0,-8.0,-12.0,-1.0,3.0,-10.0,-3.0,0.388184,-0.782227,0.523926,1.75,-36.0625,29.9375,63,69,33
38.0,-1.0,0.0,-1.0,9.0,18.0,24.0,58.0,0.414551,-0.823242,0.501953,-3.0,-14.75,14.3125,63,69,34
-13.0,2.0,-5.0,-3.0,-2.0,-6.0,-25.0,-57.0,0.40332,-0.856445,0.45459,-4.25,29.4375,-26.3125,63,69,33
12.0,-17.0,1.0,1.0,-7.0,-3.0,0.0,25.0,0.387695,-0.82666,0.487305,1.25,55.25,-55.8125,63,68,32
-25.0,3.0,12.0,3.0,2.0,11.0,-18.0,-23.0,0.339355,-0.777344,0.554199,1.125,72.8125,-72.0625,64,68,30
23.0,2.0,7.0,0.0,7.0,4.0,5.0,24.0,0.349609,-0.660645,0.681152,6.375,68.75,-68.9375,65,67,27
39.0,13.0,9.0,-5.0,1.0,-14.0,-10.0,10.0,0.341309,-0.637207,0.720703,1.25,40.8125,-44.375,66,67,24
9.0,3.0,-3.0,-7.0,4.0,6.0,1.0,0.0,0.356934,-0.627441,0.742676,2.0,15.0625,-18.3125,67,67,23
-47.0,-19.0,-15.0,-3.0,-18.0,6.0,-1.0,-25.0,0.366211,-0.619141,0.715332,3.125,-22.375,11.25,67,67,24
-29.0,-28.0,-25.0,-26.0,-1.0,-3.0,-4.0,-11.0,0.380371,-0.626465,0.687988,5.0,-36.75,32.4375,67,67,24
73.0,36.0,19.0,15.0,-3.0,8.0,2.0,-13.0,0.403809,-0.681641,0.624512,4.0,-47.6875,52.25,66,67,26
-66.0,19.0,24.0,-1.0,-13.0,-18.0,-12.0,15.0,0.416504,-0.710938,0.627441,6.3125,-52.625,59.0625,65,67,29
60.0,-20.0,1.0,9.0,9.0,-1.0,5.0,-13.0,0.365234,-0.76709,0.568359,3.375,-43.75,52.3125,65,68,31
45.0,18.0,8.0,-16.0,-17.0,10.0,11.0,35.0,0.372559,-0.807617,0.549805,1.25,-19.3125,22.1875,64,68,32
31.0,38.0,-6.0,-7.0,-1.0,7.0,0.0,-22.0,0.410645,-0.800293,0.534668,-2.875,2.625,-0.25,64,68,32
-33.0,-9.0,-4.0,-3.0,8.0,-2.0,14.0,-21.0,0.421875,-0.799316,0.510254,-4.875,44.875,-34.1875,64,68,31
-22.0,-3.0,-2.0,-2.0,-6.0,30.0,-5.0,-38.0,0.410645,-0.775879,0.518066,-12.3125,77.75,-49.9375,64,68,29
31.0,-1.0,-6.0,1.0,4.0,5.0,14.0,26.0,0.332031,-0.715332,0.608887,-7.0625,91.8125,-49.75,65,69,26
-15.0,10.0,10.0,-11.0,8.0,3.0,-2.0,17.0,0.257324,-0.728027,0.693359,2.875,71.4375,-45.875,66,71,23
2.0,4.0,-4.0,1.0,4.0,51.0,8.0,-30.0,0.249512,-0.650879,0.797363,10.4375,54.1875,-35.9375,67,71,22
65.0,15.0,3.0,2.0,7.0,7.0,15.0,47.0,0.268555,-0.595703,0.814941,-0.1875,29.5625,-17.3125,67,72,21
33.0,5.0,-2.0,2.0,2.0,-19.0,-2.0,33.0,0.306641,-0.664062,0.728516,-2.125,-1.5,5.75,67,72,21
9.0,3.0,-8.0,-3.0,6.0,36.0,7.0,12.0,0.304199,-0.687988,0.70459,-2.25,-9.3125,11.0,67,72,21
27.0,10.0,0.0,-7.0,8.0,-3.0,2.0,-7.0,0.316406,-0.703125,0.699707,-1.3125,-8.0625,10.875,67,72,21
-41.0,1.0,-1.0,1.0,7.0,-1.0,1.0,-7.0,0.311035,-0.719238,0.681641,-0.4375,-5.1875,5.5625,67,72,22
-49.0,-7.0,-6.0,1.0,-1.0,-7.0,-5.0,9.0,0.3125,-0.694824,0.702148,0.9375,-1.5,-0.6875,67,72,22
12.0,-4.0,-6.0,1.0,-1.0,8.0,8.0,29.0,0.314453,-0.702148,0.696777,2.0,-1.3125,-3.0,67,72,22
33.0,26.0,18.0,7.0,-1.0,14.0,0.0,10.0,0.322266,-0.693359,0.710449,1.75,1.75,-5.25,67,72,22
-3.0,9.0,4.0,-4.0,1.0,-10.0,-4.0,-3.0,0.316406,-0.681641,0.706543,0.3125,0.25,-4.6875,67,72,21
-36.0,-7.0,-5.0,-3.0,-1.0,16.0,-5.0,-9.0,0.317383,-0.676758,0.699219,1.0625,-0.0625,-4.0625,67,72,21
-9.0,-3.0,-1.0,-5.0,-4.0,-17.0,-6.0,24.0,0.327148,-0.673828,0.700195,0.8125,0.0625,-0.9375,67,71,21
-16.0,-12.0,1.0,3.0,8.0,3.0,-3.0,-53.0,0.326172,-0.669434,0.696777,0.5,-0.75,0.25,67,71,21
-1.0,15.0,-13.0,1.0,-5.0,11.0,-6.0,-24.0,0.321777,-0.675293,0.699707,1.0,-0.25,0.875,67,71,21
-5.0,1.0,5.0,2.0,3.0,-8.0,0.0,-10.0,0.325195,-0.681641,0.695801,-0.5,0.0,1.3125,67,71,21
1.0,-3.0,3.0,-4.0,-2.0,-11.0,12.0,22.0,0.314941,-0.684082,0.714844,0.625,-0.125,1.375,67,71,21
-40.0,-13.0,2.0,-2.0,5.0,15.0,-1.0,-10.0,0.319336,-0.678223,0.703613,-0.1875,-0.8125,0.9375,67,72,21
-8.0,-6.0,-5.0,-1.0,-3.0,-18.0,-9.0,27.0,0.316895,-0.674805,0.702637,0.0625,-2.9375,1.9375,67,71,21
2.0,18.0,-4.0,-2.0,-5.0,-13.0,3.0,6.0,0.325684,-0.683105,0.701172,-0.5625,-1.3125,0.8125,67,71,21
11.0,-10.0,-2.0,2.0,-3.0,1.0,-11.0,-47.0,0.325684,-0.68457,0.700684,1.4375,-1.3125,0.75,67,71,21
14.0,20.0,1.0,-4.0,6.0,5.0,-3.0,27.0,0.322754,-0.675293,0.698242,-0.9375,-0.125,-0.1875,67,71,21
7.0,-2.0,-5.0,4.0,-2.0,14.0,13.0,10.0,0.323242,-0.687988,0.691406,0.25,1.375,-0.0625,67,71,21
-18.0,-9.0,3.0,1.0,2.0,-12.0,-6.0,1.0,0.326172,-0.689453,0.699219,-0.3125,1.25,-0.5625,67,72,21
